Gene	Role_in_Cancer
PAX5	"oncogene, TSG, fusion"
PER1	"TSG, fusion"
PHF6	TSG
PHOX2B	TSG
PIK3R1	TSG
PML	"TSG, fusion"
PMS2	TSG
POLD1	TSG
POLE	TSG
POLG	TSG
POLQ	"oncogene, TSG"
POT1	TSG
PPARG	"TSG, fusion"
PPP2R1A	TSG
PPP6C	TSG
PRDM1	TSG
PRDM2	TSG
PRF1	TSG
PRKAR1A	"oncogene, TSG, fusion"
PTCH1	TSG
PTPN6	TSG
PTPRB	TSG
PTPRC	TSG
PTPRD	TSG
PTPRK	"TSG, fusion"
RAD17	TSG
RAD21	"oncogene, TSG"
RAD51B	"TSG, fusion"
RANBP2	"TSG, fusion"
RECQL4	"oncogene, TSG"
RFWD3	TSG
RHOA	"oncogene, TSG"
RHOH	"TSG, fusion"
